geoid,name,pop
1600000US0103076,"Auburn city, Alabama",49109
1600000US0107000,"Birmingham city, Alabama",164123
1600000US0121184,"Dothan city, Alabama",52247
1600000US0135896,"Hoover city, Alabama",62229
1600000US0137000,"Huntsville city, Alabama",154975
1600000US0150000,"Mobile city, Alabama",145711
1600000US0151000,"Montgomery city, Alabama",145500
1600000US0177256,"Tuscaloosa city, Alabama",83057
1600000US0203000,"Anchorage municipality, Alaska",209427
1600000US0404720,"Avondale city, Arizona",55190
1600000US0407940,"Buckeye city, Arizona",54584
1600000US0410670,"Casas Adobes CDP, Arizona",55236
1600000US0412000,"Chandler city, Arizona",177479
1600000US0423620,"Flagstaff city, Arizona",60827
1600000US0427400,"Gilbert town, Arizona",172550
1600000US0427820,"Glendale city, Arizona",165828
1600000US0428380,"Goodyear city, Arizona",60829
1600000US0446000,"Mesa city, Arizona",356296
1600000US0454050,"Peoria city, Arizona",131438
1600000US0455000,"Phoenix city, Arizona",1066466
1600000US0464210,"San Tan Valley CDP, Arizona",68429
1600000US0465000,"Scottsdale city, Arizona",211452
1600000US0471510,"Surprise city, Arizona",99342
1600000US0473000,"Tempe city, Arizona",152866
1600000US0477000,"Tucson city, Arizona",390747
1600000US0485540,"Yuma city, Arizona",65449
1600000US0515190,"Conway city, Arkansas",52686
1600000US0523290,"Fayetteville city, Arkansas",69895
1600000US0524550,"Fort Smith city, Arkansas",60775
1600000US0535710,"Jonesboro city, Arkansas",58238
1600000US0541000,"Little Rock city, Arkansas",145137
1600000US0550450,"North Little Rock city, Arkansas",47762
1600000US0560410,"Rogers city, Arkansas",41474
1600000US0566080,"Springdale city, Arkansas",44049
1600000US0600562,"Alameda city, California",54619
1600000US0600884,"Alhambra city, California",55175
1600000US0602000,"Anaheim city, California",209654
1600000US0602252,"Antioch city, California",78722
1600000US0602364,"Apple Valley town, California",48499
1600000US0602553,"Arden-Arcade CDP, California",68655
1600000US0603526,"Bakersfield city, California",231448
1600000US0603666,"Baldwin Park city, California",44438
1600000US0604982,"Bellflower city, California",50732
1600000US0606000,"Berkeley city, California",92668
1600000US0608786,"Buena Park city, California",55811
1600000US0608954,"Burbank city, California",75171
1600000US0610046,"Camarillo city, California",51806
1600000US0611194,"Carlsbad city, California",87865
1600000US0611390,"Carmichael CDP, California",47215
1600000US0611530,"Carson city, California",65646
1600000US0613014,"Chico city, California",78963
1600000US0613210,"Chino city, California",67111
1600000US0613214,"Chino Hills city, California",56859
1600000US0613392,"Chula Vista city, California",171534
1600000US0613588,"Citrus Heights city, California",68799
1600000US0614218,"Clovis city, California",77082
1600000US0615044,"Compton city, California",51712
1600000US0616000,"Concord city, California",83893
1600000US0616350,"Corona city, California",114640
1600000US0616532,"Costa Mesa city, California",70429
1600000US0617918,"Daly City city, California",69418
1600000US0618100,"Davis city, California",50326
1600000US0619766,"Downey city, California",70818
1600000US0620802,"East Los Angeles CDP, California",60661
1600000US0621712,"El Cajon city, California",66008
1600000US0622020,"Elk Grove city, California",123412
1600000US0622230,"El Monte city, California",63914
1600000US0622804,"Escondido city, California",99051
1600000US0623182,"Fairfield city, California",77497
1600000US0624477,"Florence-Graham CDP, California",30063
1600000US0624638,"Folsom city, California",56065
1600000US0624680,"Fontana city, California",127105
1600000US0626000,"Fremont city, California",141871
1600000US0627000,"Fresno city, California",331056
1600000US0628000,"Fullerton city, California",89981
1600000US0629000,"Garden Grove city, California",113414
1600000US0630000,"Glendale city, California",127042
1600000US0632548,"Hawthorne city, California",45278
1600000US0633000,"Hayward city, California",104898
1600000US0633182,"Hemet city, California",57709
1600000US0633434,"Hesperia city, California",58796
1600000US0636000,"Huntington Beach city, California",150987
1600000US0636448,"Indio city, California",68221
1600000US0636546,"Inglewood city, California",67474
1600000US0636770,"Irvine city, California",176461
1600000US0637692,"Jurupa Valley city, California",55635
1600000US0639248,"Laguna Niguel city, California",48713
1600000US0639486,"Lake Elsinore city, California",40758
1600000US0639496,"Lake Forest city, California",58291
1600000US0639892,"Lakewood city, California",57581
1600000US0640130,"Lancaster city, California",106181
1600000US0641992,"Livermore city, California",61653
1600000US0642202,"Lodi city, California",41787
1600000US0643000,"Long Beach city, California",311376
1600000US0644000,"Los Angeles city, California",2470684
1600000US0644574,"Lynwood city, California",35300
1600000US0645022,"Madera city, California",28708
1600000US0645484,"Manteca city, California",56054
1600000US0646842,"Menifee city, California",65826
1600000US0646898,"Merced city, California",48427
1600000US0647766,"Milpitas city, California",55237
1600000US0648256,"Mission Viejo city, California",70399
1600000US0648354,"Modesto city, California",142821
1600000US0649270,"Moreno Valley city, California",128876
1600000US0649670,"Mountain View city, California",48354
1600000US0650076,"Murrieta city, California",80000
1600000US0650258,"Napa city, California",53782
