geoid,name,pop
0600000US0900108070,"Bridgeport town, Fairfield County, Connecticut",85679
0600000US0900118500,"Danbury town, Fairfield County, Connecticut",56977
0600000US0900156060,"Norwalk town, Fairfield County, Connecticut",60668
0600000US0900173070,"Stamford town, Fairfield County, Connecticut",80714
0600000US0900337070,"Hartford town, Hartford County, Connecticut",79955
0600000US0900350440,"New Britain town, Hartford County, Connecticut",51589
0600000US0900952070,"New Haven town, New Haven County, Connecticut",89986
0600000US0900980070,"Waterbury town, New Haven County, Connecticut",75084
0600000US1701912411,"Champaign City township, Champaign County, Illinois",66531
0600000US1703106561,"Bloom township, Cook County, Illinois",61493
0600000US1703107939,"Bremen township, Cook County, Illinois",77052
0600000US1703114000,"Chicago city, Cook County, Illinois",1872121
0600000US1703114364,"Cicero township, Cook County, Illinois",42516
0600000US1703123243,"Elk Grove township, Cook County, Illinois",59711
0600000US1703124582,"Evanston city, Cook County, Illinois",52137
0600000US1703132694,"Hanover township, Cook County, Illinois",58678
0600000US1703143120,"Leyden township, Cook County, Illinois",57108
0600000US1703145447,"Lyons township, Cook County, Illinois",76096
0600000US1703146162,"Maine township, Cook County, Illinois",98792
0600000US1703153013,"Niles township, Cook County, Illinois",71225
0600000US1703153676,"Northfield township, Cook County, Illinois",60808
0600000US1703156614,"Orland township, Cook County, Illinois",75721
0600000US1703157238,"Palatine township, Cook County, Illinois",69459
0600000US1703162133,"Proviso township, Cook County, Illinois",100828
0600000US1703163498,"Rich township, Cook County, Illinois",60354
0600000US1703168016,"Schaumburg township, Cook County, Illinois",86389
0600000US1703175198,"Thornton township, Cook County, Illinois",120728
0600000US1703181100,"Wheeling township, Cook County, Illinois",97378
0600000US1703183531,"Worth township, Cook County, Illinois",108276
0600000US1704300250,"Addison township, DuPage County, Illinois",61111
0600000US1704306600,"Bloomingdale township, DuPage County, Illinois",75125
0600000US1704320604,"Downers Grove township, DuPage County, Illinois",108847
0600000US1704343952,"Lisle township, DuPage County, Illinois",83291
0600000US1704349451,"Milton township, DuPage County, Illinois",83444
0600000US1704351635,"Naperville township, DuPage County, Illinois",67294
0600000US1704379410,"Wayne township, DuPage County, Illinois",48083
0600000US1704383947,"York township, DuPage County, Illinois",89933
0600000US1708903025,"Aurora township, Kane County, Illinois",89947
0600000US1708921046,"Dundee township, Kane County, Illinois",41687
0600000US1708923087,"Elgin township, Kane County, Illinois",71255
0600000US1709703220,"Avon township, Lake County, Illinois",42766
0600000US1709777668,"Vernon township, Lake County, Illinois",43427
0600000US1709778877,"Warren township, Lake County, Illinois",43041
0600000US1709779306,"Waukegan township, Lake County, Illinois",49037
0600000US1711100698,"Algonquin township, McHenry County, Illinois",64045
0600000US1711306639,"Bloomington City township, McLean County, Illinois",54989
0600000US1714359013,"Peoria City township, Peoria County, Illinois",75113
0600000US1716711046,"Capital township, Sangamon County, Illinois",86010
0600000US1719721241,"Du Page township, Will County, Illinois",59620
0600000US1719738583,"Joliet township, Will County, Illinois",50999
0600000US1719760300,"Plainfield township, Will County, Illinois",55767
0600000US1719781035,"Wheatland township, Will County, Illinois",57061
