geoid,name,pop
0500000US01003,"Baldwin County, Alabama",171344
0500000US01015,"Calhoun County, Alabama",87872
0500000US01043,"Cullman County, Alabama",63818
0500000US01049,"DeKalb County, Alabama",49295
0500000US01051,"Elmore County, Alabama",61394
0500000US01055,"Etowah County, Alabama",79514
0500000US01069,"Houston County, Alabama",80076
0500000US01073,"Jefferson County, Alabama",495515
0500000US01077,"Lauderdale County, Alabama",73859
0500000US01081,"Lee County, Alabama",124629
0500000US01083,"Limestone County, Alabama",75911
0500000US01089,"Madison County, Alabama",283657
0500000US01095,"Marshall County, Alabama",67684
0500000US01097,"Mobile County, Alabama",312267
0500000US01101,"Montgomery County, Alabama",168682
0500000US01103,"Morgan County, Alabama",88925
0500000US01115,"St. Clair County, Alabama",69081
0500000US01117,"Shelby County, Alabama",161863
0500000US01121,"Talladega County, Alabama",62328
0500000US01125,"Tuscaloosa County, Alabama",161318
0500000US01127,"Walker County, Alabama",48925
0500000US02020,"Anchorage Municipality, Alaska",209427
0500000US02090,"Fairbanks North Star Borough, Alaska",72121
0500000US02170,"Matanuska-Susitna Borough, Alaska",78527
0500000US04001,"Apache County, Arizona",52650
0500000US04003,"Cochise County, Arizona",93194
0500000US04005,"Coconino County, Arizona",112926
0500000US04013,"Maricopa County, Arizona",3082468
0500000US04015,"Mohave County, Arizona",171003
0500000US04017,"Navajo County, Arizona",80410
0500000US04019,"Pima County, Arizona",761110
0500000US04021,"Pinal County, Arizona",339589
0500000US04025,"Yavapai County, Arizona",189559
0500000US04027,"Yuma County, Arizona",131800
0500000US05007,"Benton County, Arkansas",188080
0500000US05031,"Craighead County, Arkansas",81738
0500000US05045,"Faulkner County, Arkansas",96536
0500000US05051,"Garland County, Arkansas",78004
0500000US05069,"Jefferson County, Arkansas",51515
0500000US05085,"Lonoke County, Arkansas",53419
0500000US05119,"Pulaski County, Arkansas",290166
0500000US05125,"Saline County, Arkansas",92476
0500000US05131,"Sebastian County, Arkansas",90552
0500000US05143,"Washington County, Arkansas",164790
0500000US05145,"White County, Arkansas",59774
0500000US06001,"Alameda County, California",1112472
0500000US06007,"Butte County, California",167905
0500000US06013,"Contra Costa County, California",775500
0500000US06017,"El Dorado County, California",147487
0500000US06019,"Fresno County, California",609208
0500000US06023,"Humboldt County, California",106177
0500000US06025,"Imperial County, California",104890
0500000US06029,"Kern County, California",536316
0500000US06031,"Kings County, California",94140
0500000US06033,"Lake County, California",48201
