geoid,name,pop
314M500US1446014454,"Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",1473029
314M500US1446015764,"Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",1708501
314M500US1446040484,"Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",349339
314M500US1698016984,"Chicago-Naperville-Evanston, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4956101
314M500US1698020994,"Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",529736
314M500US1698023844,"Gary, IN Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",526740
314M500US1698029404,"Lake County-Kenosha County, IL-WI Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",600516
314M500US1910019124,"Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",3153036
314M500US1910023104,"Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",1654574
314M500US1982019804,"Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",1279313
314M500US1982047664,"Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",1937901
314M500US3108011244,"Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",2099774
314M500US3108031084,"Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",6389353
314M500US3310022744,"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",1308132
314M500US3310033124,"Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",1625606
314M500US3310048424,"West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",1047506
314M500US3562035004,"Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",2061893
314M500US3562035084,"Newark, NJ-PA Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",1473248
314M500US3562035154,"New Brunswick-Lakewood, NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",1695542
314M500US3562035614,"New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",7774570
314M500US3798015804,"Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",935666
314M500US3798033874,"Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1487500
314M500US3798037964,"Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1566650
314M500US3798048864,"Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",536538
314M500US4186036084,"Oakland-Berkeley-Livermore, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",1887972
314M500US4186041884,"San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",1165738
314M500US4186042034,"San Rafael, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",186536
314M500US4266042644,"Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",2111168
314M500US4266045104,"Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",656925
314M500US4790023224,"Frederick-Gaithersburg-Rockville, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",859286
314M500US4790047894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",3373531
