geoid,name,pop
9700000US0100007,"Hoover City School District, Alabama",62773
9700000US0100210,"Auburn City School District, Alabama",49109
9700000US0100270,"Baldwin County School District, Alabama",171344
9700000US0100390,"Birmingham City School District, Alabama",164123
9700000US0101020,"Cullman County School District, Alabama",51415
9700000US0101230,"Dothan City School District, Alabama",52247
9700000US0101290,"Elmore County School District, Alabama",56475
9700000US0101800,"Huntsville City School District, Alabama",154975
9700000US0101920,"Jefferson County School District, Alabama",168294
9700000US0102220,"Madison County School District, Alabama",96198
9700000US0102370,"Mobile County School District, Alabama",288958
9700000US0102430,"Montgomery County School District, Alabama",160180
9700000US0103030,"Shelby County School District, Alabama",97333
9700000US0103360,"Tuscaloosa City School District, Alabama",81219
9700000US0103390,"Tuscaloosa County School District, Alabama",80099
9700000US0200180,"Anchorage School District, Alaska",209427
9700000US0200510,"Matanuska-Susitna Borough School District, Alaska",78527
9700000US0200600,"Fairbanks North Star Borough School District, Alaska",72121
9700000US0400001,"Cave Creek Unified District, Arizona",56180
9700000US0400295,"Kingman Unified School District, Arizona",60640
9700000US0400680,"Amphitheater Unified District, Arizona",108707
9700000US0400790,"Apache Junction Unified District, Arizona",57873
9700000US0401870,"Chandler Unified District, Arizona",175944
9700000US0402690,"Dysart Unified District, Arizona",135621
9700000US0402860,"Flagstaff Unified District, Arizona",80606
9700000US0402920,"Florence Unified School District, Arizona",81316
9700000US0403400,"Gilbert Unified District, Arizona",144223
9700000US0403780,"Higley Unified District, Arizona",58147
9700000US0404630,"Marana Unified District, Arizona",75142
9700000US0404970,"Mesa Unified District, Arizona",358707
9700000US0405930,"Paradise Valley Unified District, Arizona",196644
9700000US0406250,"Peoria Unified School District, Arizona",174553
9700000US0407570,"Scottsdale Unified District, Arizona",197313
9700000US0407750,"Deer Valley Unified District, Arizona",187205
9700000US0408170,"Sunnyside Unified District, Arizona",58918
9700000US0408800,"Tucson Unified District, Arizona",358609
9700000US0408850,"Vail Unified District, Arizona",47250
9700000US0503060,"Bentonville Public Schools, Arkansas",72508
9700000US0504590,"Conway Public Schools, Arkansas",63668
9700000US0506120,"Fayetteville School District, Arkansas",74371
9700000US0506330,"Fort Smith Public Schools, Arkansas",63551
9700000US0509000,"Little Rock School District, Arkansas",128416
9700000US0511850,"Pulaski County Special School District, Arkansas",99045
9700000US0511970,"Rogers Public Schools, Arkansas",62108
9700000US0512660,"Springdale School District, Arkansas",60974
9700000US0600013,"Rocklin Unified School District, California",46356
9700000US0600014,"Hesperia Unified School District, California",65803
9700000US0600016,"Upland Unified School District, California",58887
9700000US0600017,"Apple Valley Unified School District, California",54203
9700000US0600020,"Pleasanton Unified School District, California",49834
9700000US0600027,"Lake Elsinore Unified School District, California",86049
9700000US0600028,"Temecula Valley Unified School District, California",111490
9700000US0600029,"Murrieta Valley Unified School District, California",84836
9700000US0600032,"Redondo Beach Unified School District, California",47480
9700000US0600036,"Natomas Unified School District, California",58754
9700000US0600047,"Tracy Unified School District, California",53781
9700000US0600153,"Alhambra Unified School District, California",74834
9700000US0600158,"Turlock Unified School District, California",49741
9700000US0601332,"Twin Rivers Unified School District, California",114728
9700000US0601414,"Santa Barbara Unified School District, California",59234
9700000US0601620,"ABC Unified School District, California",70975
9700000US0601770,"Alameda City Unified School District, California",54619
9700000US0602430,"Alvord Unified School District, California",81680
9700000US0602850,"Antioch Unified School District, California",82060
9700000US0603600,"Azusa Unified School District, California",45731
9700000US0603690,"Baldwin Park Unified School District, California",44068
9700000US0604290,"Beaumont Unified School District, California",45574
9700000US0604440,"Bellflower Unified School District, California",54625
9700000US0604740,"Berkeley Unified School District, California",92668
9700000US0606450,"Burbank Unified School District, California",75171
9700000US0607440,"Capistrano Unified School District, California",257618
9700000US0607500,"Carlsbad Unified School District, California",59421
9700000US0607970,"Central Unified School District, California",54153
9700000US0608370,"Chico Unified School District, California",97417
9700000US0608460,"Chino Valley Unified School District, California",139666
9700000US0609030,"Clovis Unified School District, California",155989
9700000US0609070,"Coachella Valley Unified School District, California",56615
9700000US0609390,"Colton Joint Unified School District, California",76454
9700000US0609620,"Compton Unified School District, California",82145
9700000US0609640,"Conejo Valley Unified School District, California",92258
9700000US0609850,"Corona-Norco Unified School District, California",197496
9700000US0610050,"Covina-Valley Unified School District, California",50194
9700000US0610620,"Davis Joint Unified School District, California",57939
9700000US0611110,"Desert Sands Unified School District, California",147064
9700000US0611460,"Downey Unified School District, California",75487
9700000US0612330,"Elk Grove Unified School District, California",234365
9700000US0613360,"Fairfield-Suisun Unified School District, California",93847
9700000US0613890,"Folsom-Cordova Unified School District, California",90265
9700000US0613920,"Fontana Unified School District, California",101885
9700000US0614400,"Fremont Unified School District, California",141871
9700000US0614550,"Fresno Unified School District, California",233193
9700000US0614880,"Garden Grove Unified School District, California",175720
9700000US0615180,"Gilroy Unified School District, California",36045
9700000US0615240,"Glendale Unified School District, California",142437
9700000US0616325,"Hacienda La Puente Unified School District, California",75803
9700000US0616740,"Hayward Unified School District, California",121388
9700000US0616920,"Hemet Unified School District, California",101809
9700000US0618390,"Inglewood Unified School District, California",71244
9700000US0619260,"Jurupa Unified School District, California",56233
9700000US0621000,"Las Virgenes Unified School District, California",48984
9700000US0622110,"Livermore Valley Joint Unified School District, California",63262
9700000US0622230,"Lodi Unified School District, California",111417
9700000US0622500,"Long Beach Unified School District, California",351400
9700000US0622710,"Los Angeles Unified School District, California",2908314
9700000US0623080,"Lucia Mar Unified School District, California",60529
9700000US0623160,"Lynwood Unified School District, California",32827
9700000US0623340,"Madera Unified School District, California",44753
9700000US0623610,"Manteca Unified School District, California",96788
9700000US0624500,"Milpitas Unified School District, California",55686
9700000US0625470,"Montebello Unified School District, California",88840
9700000US0625530,"Monterey Peninsula Unified School District, California",65263
9700000US0625800,"Moreno Valley Unified School District, California",111196
9700000US0625830,"Morgan Hill Unified School District, California",45838
9700000US0625860,"Morongo Unified School District, California",52079
9700000US0626370,"Mount Diablo Unified School District, California",179894
9700000US0626640,"Napa Valley Unified School District, California",82221
9700000US0626910,"New Haven Unified School District, California",51643
9700000US0627240,"Newport-Mesa Unified School District, California",134699
9700000US0627690,"Norwalk-La Mirada Unified School District, California",83274
9700000US0627720,"Novato Unified School District, California",47968
9700000US0628050,"Oakland Unified School District, California",296668
9700000US0628250,"Oceanside Unified School District, California",92322
9700000US0628650,"Orange Unified School District, California",155771
9700000US0629490,"Pajaro Valley Joint Unified School District, California",70177
9700000US0629550,"Palm Springs Unified School District, California",123527
9700000US0629610,"Palo Alto Unified School District, California",56867
9700000US0629850,"Paramount Unified School District, California",44004
9700000US0629940,"Pasadena Unified School District, California",146366
9700000US0630660,"Placentia-Yorba Linda Unified School District, California",114161
9700000US0631320,"Pomona Unified School District, California",103806
9700000US0631530,"Poway Unified School District, California",138988
9700000US0632070,"Redlands Unified School District, California",95420
9700000US0632370,"Rialto Unified School District, California",74346
9700000US0632550,"West Contra Costa Unified School District, California",159688
9700000US0633150,"Riverside Unified School District, California",179790
9700000US0633750,"Rowland Unified School District, California",65091
9700000US0633840,"Sacramento City Unified School District, California",243774
9700000US0633860,"Saddleback Valley Unified School District, California",159326
9700000US0634170,"San Bernardino City Unified School District, California",156944
9700000US0634320,"San Diego City Unified School District, California",792116
9700000US0634410,"San Francisco Unified School District, California",662741
9700000US0634590,"San Jose Unified School District, California",176379
9700000US0634620,"San Juan Unified School District, California",250143
9700000US0634680,"San Leandro Unified School District, California",49277
9700000US0634710,"San Lorenzo Unified School District, California",54704
9700000US0634800,"San Luis Coastal Unified School District, California",81288
9700000US0634880,"San Marcos Unified School District, California",88513
9700000US0635130,"San Ramon Valley Unified School District, California",103572
9700000US0635310,"Santa Ana Unified School District, California",140025
9700000US0635430,"Santa Clara Unified School District, California",92489
9700000US0635700,"Santa Monica-Malibu Unified School District, California",83385
9700000US0636840,"Simi Valley Unified School District, California",96294
9700000US0637530,"South San Francisco Unified School District, California",61155
9700000US0638010,"Stockton Unified School District, California",120794
9700000US0639420,"Torrance Unified School District, California",99889
9700000US0640150,"Tustin Unified School District, California",87176
9700000US0640590,"Vacaville Unified School District, California",59109
9700000US0640740,"Vallejo City Unified School District, California",87975
9700000US0640980,"Ventura Unified School District, California",91580
9700000US0641160,"Visalia Unified School District, California",101568
9700000US0641190,"Vista Unified School District, California",109432
9700000US0643080,"Woodland Joint Unified School District, California",48013
9700000US0643470,"Yuba City Unified School District, California",50679
9700000US0684500,"Irvine Unified School District, California",160660
9700000US0691135,"Val Verde Unified School District, California",54321
9700000US0801920,"Academy School District 20, Colorado",86402
9700000US0802340,"Adams-Arapahoe School District 28J, Colorado",143745
9700000US0802490,"Boulder Valley School District RE-2, Colorado",183155
9700000US0802580,"School District 27J, Colorado",69408
9700000US0802910,"Cherry Creek School District 5, Colorado",226516
9700000US0803060,"Colorado Springs School District 11, Colorado",191186
9700000US0803360,"Denver County School District 1, Colorado",541386
9700000US0803450,"Douglas County School District RE-1, Colorado",253877
9700000US0803870,"El Paso County School District 49, Colorado",69765
9700000US0803990,"Poudre School District R-1, Colorado",173248
9700000US0804350,"Mesa County Valley School District 51, Colorado",114873
9700000US0804410,"Greeley School District 6, Colorado",87389
9700000US0804530,"Harrison School District 2, Colorado",58063
9700000US0804800,"Jefferson County School District R-1, Colorado",461009
9700000US0805310,"Littleton School District 6, Colorado",78343
9700000US0805370,"St. Vrain Valley School District RE 1J, Colorado",135529
9700000US0805400,"Thompson School District R-2J, Colorado",97469
9700000US0806120,"Pueblo City School District 60, Colorado",84989
9700000US0806900,"Adams 12 Five Star Schools, Colorado",167383
9700000US0807230,"Westminster Public School District, Colorado",50044
