"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"1600000US0103076","Auburn city, Alabama","49109","2432","23434","2706","10723","2189","9688","2016","5264","1366","23456","2108","25653","1519","36661","3962","N","N","1408","799","N","N","N","N","N","N","N","N","N","N","N","N","93","123","998","616","6920","1585","16901","2260","2625","887","12749","2137","8823","1854","48018","2376","21572","2480","43773","2717","13866","2384","29907","2563","49758","12465","(X)","(X)","47.7","4.8","21.8","4.8","19.7","3.8","10.7","2.6","47.8","2.8","52.2","2.8","74.7","6.1","N","N","2.9","1.6","N","N","N","N","N","N","N","N","N","N","N","N","0.2","0.3","2.0","1.2","14.1","3.0","34.4","4.4","5.3","1.8","26.0","4.4","18.0","3.5","97.8","1.4","43.9","4.7","(X)","(X)","31.7","4.8","68.3","4.8","(X)","(X)"
"1600000US0107000","Birmingham city, Alabama","164123","4090","41474","3235","39409","3138","51084","3081","32156","2424","72533","2674","91590","3221","49448","3892","N","N","N","N","N","N","N","N","N","N","N","N","2378","856","47910","3863","2770","844","16116","2610","47769","4185","38358","4011","15343","2453","26684","3258","17083","2389","145237","5019","43767","4114","157088","4683","35366","3641","121722","5674","36859","3188","(X)","(X)","25.3","1.8","24.0","1.9","31.1","1.7","19.6","1.3","44.2","1.3","55.8","1.3","30.1","2.2","N","N","N","N","N","N","N","N","N","N","N","N","1.4","0.5","29.2","2.2","1.7","0.5","9.8","1.6","29.1","2.4","23.4","2.4","9.3","1.5","16.3","1.8","10.4","1.5","88.5","1.6","26.7","2.3","(X)","(X)","22.5","2.4","77.5","2.4","(X)","(X)"
"1600000US0121184","Dothan city, Alabama","52247","1132","9874","742","12095","872","17132","939","13146","1053","23892","775","28355","820","31740","1740","N","N","570","162","N","N","N","N","N","N","N","N","668","251","N","N","1693","482","5298","846","14954","1041","12360","840","5188","652","8182","982","4572","600","45256","1194","12754","1285","51384","1306","8658","1120","42726","1646","48666","4571","(X)","(X)","18.9","1.4","23.1","1.7","32.8","1.7","25.2","1.8","45.7","1.1","54.3","1.1","60.7","3.2","N","N","1.1","0.3","N","N","N","N","N","N","N","N","1.3","0.5","N","N","3.2","0.9","10.1","1.6","28.6","1.8","23.7","1.6","9.9","1.2","15.7","1.9","8.8","1.1","86.6","1.8","24.4","2.4","(X)","(X)","16.8","2.2","83.2","2.2","(X)","(X)"
"1600000US0135896","Hoover city, Alabama","62229","3241","12093","2532","16880","2188","19155","2529","14101","1834","30169","2224","32060","2376","46495","3522","N","N","1946","679","N","N","N","N","N","N","N","N","N","N","N","N","594","449","1243","532","8151","1690","13120","2000","3386","1204","21030","2504","14705","1887","60392","3345","35735","2823","61891","3244","2170","742","59721","3169","100342","6885","(X)","(X)","19.4","3.6","27.1","3.9","30.8","3.2","22.7","3.0","48.5","2.6","51.5","2.6","74.7","4.2","N","N","3.1","1.1","N","N","N","N","N","N","N","N","N","N","N","N","1.0","0.7","2.0","0.9","13.1","2.5","21.1","2.9","5.4","1.9","33.8","4.1","23.6","2.7","97.0","1.0","57.4","4.2","(X)","(X)","3.5","1.2","96.5","1.2","(X)","(X)"
"1600000US0137000","Huntsville city, Alabama","154975","4108","38979","2570","35461","2953","47320","3384","33215","2361","72295","2277","82680","2934","97595","4099","51284","3368","N","N","N","N","N","N","N","N","N","N","5094","1064","94042","3746","2301","694","10183","1966","27634","2993","39908","3293","12754","1866","37764","4341","24431","3055","142491","4356","62195","5058","146558","4477","20209","2982","126349","5509","55573","4518","(X)","(X)","25.2","1.6","22.9","2.0","30.5","1.7","21.4","1.4","46.6","1.0","53.4","1.0","63.0","2.1","33.1","2.0","N","N","N","N","N","N","N","N","N","N","3.3","0.7","60.7","2.0","1.5","0.4","6.6","1.3","17.8","1.9","25.8","2.1","8.2","1.2","24.4","2.6","15.8","1.9","91.9","1.4","40.1","2.8","(X)","(X)","13.8","2.1","86.2","2.1","(X)","(X)"
"1600000US0150000","Mobile city, Alabama","145711","2811","34471","2498","33659","2289","46051","2596","31530","2236","65697","2498","80014","1944","61826","3641","77238","3087","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3116","847","11116","2135","45403","3287","33234","3095","11705","1893","25983","2501","15154","2043","131479","3533","41137","3156","141622","3148","19358","3059","122264","4694","46821","2822","(X)","(X)","23.7","1.5","23.1","1.7","31.6","1.5","21.6","1.5","45.1","1.2","54.9","1.2","42.4","2.1","53.0","2.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2.1","0.6","7.6","1.5","31.2","2.2","22.8","2.0","8.0","1.3","17.8","1.7","10.4","1.4","90.2","1.5","28.2","2.1","(X)","(X)","13.7","2.2","86.3","2.2","(X)","(X)"
"1600000US0151000","Montgomery city, Alabama","145500","1564","33810","1448","37854","1333","44228","1505","29608","1193","66211","1166","79289","1304","50658","2247","N","N","2229","769","N","N","N","N","N","N","N","N","2764","469","N","N","4199","1340","10806","2142","37746","3168","37370","3218","10987","1992","25809","2944","18583","1977","130495","2934","44392","3515","139410","2663","19813","2797","119597","4113","50728","2821","(X)","(X)","23.2","0.9","26.0","1.0","30.4","0.9","20.3","0.8","45.5","0.7","54.5","0.7","34.8","1.5","N","N","1.5","0.5","N","N","N","N","N","N","N","N","1.9","0.3","N","N","2.9","0.9","7.4","1.5","25.9","2.2","25.7","2.2","7.6","1.4","17.7","2.0","12.8","1.3","89.7","1.8","30.5","2.3","(X)","(X)","14.2","2.1","85.8","2.1","(X)","(X)"
"1600000US0177256","Tuscaloosa city, Alabama","83057","2126","32734","2275","14886","1703","21691","1988","13746","1755","39065","2195","43992","2073","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1619","1061","6811","2019","23510","3571","25031","3319","3580","1102","13364","2543","9142","1746","74627","3075","22506","3076","74311","3069","15597","3527","58714","3799","40602","4670","(X)","(X)","39.4","2.6","17.9","2.1","26.1","2.2","16.6","1.9","47.0","2.2","53.0","2.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1.9","1.3","8.2","2.4","28.3","4.4","30.1","3.8","4.3","1.3","16.1","3.0","11.0","2.1","89.9","3.0","27.1","3.6","(X)","(X)","21.0","4.5","79.0","4.5","(X)","(X)"
"1600000US0203000","Anchorage municipality, Alaska","209427","2269","50185","2228","59618","2342","67653","2307","31971","1211","104855","1968","104572","1370","140240","2481","11494","1000","17062","2013","N","N","N","N","N","N","N","N","15864","1141","130289","2049","2452","893","8343","1872","57740","4251","54512","4497","18483","2184","42149","3564","25748","2331","198632","2949","67897","4067","204019","2271","18171","3571","185848","4528","83629","3832","(X)","(X)","24.0","0.9","28.5","1.2","32.3","1.0","15.3","0.6","50.1","0.6","49.9","0.6","67.0","0.9","5.5","0.5","8.1","0.9","N","N","N","N","N","N","N","N","7.6","0.5","62.2","0.7","1.2","0.4","4.0","0.9","27.6","2.1","26.0","2.0","8.8","1.1","20.1","1.7","12.3","1.1","94.8","1.0","32.4","1.9","(X)","(X)","8.9","1.8","91.1","1.8","(X)","(X)"
