"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","546223","2958","103499","2095","128837","3180","183430","2885","130457","2353","256090","2099","290133","2530","378866","3130","145115","2980","6015","1239","N","N","N","N","N","N","N","N","10420","1529","372380","2170","12490","2265","51840","5502","188375","7772","120730","5869","46909","4394","82311","5171","43568","4852","481893","7088","125879","7136","535200","3811","69892","5925","465308","6726","51076","1500","(X)","(X)","18.9","0.4","23.6","0.6","33.6","0.5","23.9","0.4","46.9","0.3","53.1","0.3","69.4","0.5","26.6","0.5","1.1","0.2","N","N","N","N","N","N","N","N","1.9","0.3","68.2","0.4","2.3","0.4","9.5","1.0","34.5","1.4","22.1","1.0","8.6","0.8","15.1","0.9","8.0","0.9","88.2","1.1","23.0","1.3","(X)","(X)","13.1","1.1","86.9","1.1","(X)","(X)"
"5001600US0102","Congressional District 2 (116th Congress), Alabama","513747","4847","106207","2968","121741","3897","166199","3510","119600","2114","242695","3161","271052","3116","334078","3109","N","N","4129","846","N","N","N","N","4901","1815","N","N","11157","1320","326863","2828","17700","1867","49827","3796","166639","6534","124695","4650","46293","2889","69073","4193","39520","2681","446220","6749","108593","4842","495356","5439","68521","5115","426835","7143","50764","997","(X)","(X)","20.7","0.5","23.7","0.7","32.4","0.7","23.3","0.5","47.2","0.4","52.8","0.4","65.0","0.9","N","N","0.8","0.2","N","N","N","N","1.0","0.4","N","N","2.2","0.3","63.6","0.8","3.4","0.4","9.7","0.8","32.4","1.2","24.3","0.9","9.0","0.6","13.4","0.8","7.7","0.5","86.9","0.9","21.1","0.9","(X)","(X)","13.8","1.0","86.2","1.0","(X)","(X)"
"5001600US0103","Congressional District 3 (116th Congress), Alabama","550776","4398","119395","3359","129092","3615","182968","2980","119321","1682","262424","2757","288352","2637","391932","3008","N","N","4440","1427","N","N","N","N","2334","1098","N","N","9075","1407","385715","2702","21167","3120","54476","4739","171764","7283","134640","6922","51282","4235","69463","4847","47984","3953","475133","7324","117447","6242","532172","5097","74898","6955","457274","9037","52372","2134","(X)","(X)","21.7","0.6","23.4","0.6","33.2","0.5","21.7","0.3","47.6","0.3","52.4","0.3","71.2","0.6","N","N","0.8","0.3","N","N","N","N","0.4","0.2","N","N","1.6","0.3","70.0","0.6","3.8","0.6","9.9","0.9","31.2","1.3","24.4","1.2","9.3","0.8","12.6","0.9","8.7","0.7","86.3","1.1","21.3","1.1","(X)","(X)","14.1","1.3","85.9","1.3","(X)","(X)"
"5001600US0104","Congressional District 4 (116th Congress), Alabama","516456","5170","92231","3340","117680","2800","178627","3294","127918","2276","251669","3323","264787","2949","460821","5045","N","N","1447","643","N","N","N","N","5420","1822","N","N","13479","2408","452892","4741","20572","2204","61145","5595","179541","6201","123124","5417","46557","3790","56555","4638","28962","2519","434739","7598","85517","5360","509887","5333","67198","5816","442689","7111","48231","1729","(X)","(X)","17.9","0.6","22.8","0.5","34.6","0.5","24.8","0.5","48.7","0.3","51.3","0.3","89.2","0.4","N","N","0.3","0.1","N","N","N","N","1.0","0.4","N","N","2.6","0.5","87.7","0.5","4.0","0.4","11.8","1.1","34.8","1.2","23.8","1.0","9.0","0.7","11.0","0.9","5.6","0.5","84.2","1.1","16.6","1.0","(X)","(X)","13.2","1.1","86.8","1.1","(X)","(X)"
"5001600US0105","Congressional District 5 (116th Congress), Alabama","563216","2892","112593","2056","130542","2172","195293","2120","124788","1893","270465","1655","292751","1987","435104","2401","103067","1494","7693","1224","N","N","N","N","4114","1064","N","N","15488","2171","424346","1380","14988","2372","41465","3670","159564","6125","127295","6201","47394","3839","109985","6229","62525","4194","506763","4807","172510","7174","547040","3763","62203","5439","484837","6271","60139","2049","(X)","(X)","20.0","0.4","23.2","0.4","34.7","0.4","22.2","0.3","48.0","0.2","52.0","0.2","77.3","0.3","18.3","0.3","1.4","0.2","N","N","N","N","0.7","0.2","N","N","2.7","0.4","75.3","0.4","2.7","0.4","7.4","0.7","28.3","1.1","22.6","1.1","8.4","0.7","19.5","1.1","11.1","0.7","90.0","0.8","30.6","1.2","(X)","(X)","11.4","1.0","88.6","1.0","(X)","(X)"
"5001600US0106","Congressional District 6 (116th Congress), Alabama","527401","7356","97092","4194","135940","4141","179080","4071","115289","3247","250944","4438","276457","4938","424691","5618","85268","4622","6229","1112","N","N","N","N","2786","939","N","N","12977","2054","416340","5200","12001","1941","33881","3188","128972","5803","121300","6885","39501","3460","120653","6412","71093","5227","481519","8103","191746","8704","518703","7228","45083","4370","473620","7558","70539","2863","(X)","(X)","18.4","0.7","25.8","0.7","34.0","0.7","21.9","0.6","47.6","0.6","52.4","0.6","80.5","0.8","16.2","0.8","1.2","0.2","N","N","N","N","0.5","0.2","N","N","2.5","0.4","78.9","0.9","2.3","0.4","6.4","0.6","24.5","1.0","23.0","1.2","7.5","0.7","22.9","1.2","13.5","0.9","91.3","0.8","36.4","1.6","(X)","(X)","8.7","0.8","91.3","0.8","(X)","(X)"
"5001600US0107","Congressional District 7 (116th Congress), Alabama","513517","8785","132632","4184","111264","4856","157939","5117","111682","3318","234099","4613","279418","6057","184120","6585","317604","6294","4064","1141","N","N","N","N","1127","554","N","N","8166","1394","177655","6445","15321","2605","50532","4934","184816","8417","123583","7470","42199","4090","60046","5365","37020","3333","447664","8640","97066","6517","490476","8693","102472","8302","388004","10527","37974","1918","(X)","(X)","25.8","0.7","21.7","0.8","30.8","0.9","21.7","0.6","45.6","0.6","54.4","0.6","35.9","0.9","61.8","0.9","0.8","0.2","N","N","N","N","0.2","0.1","N","N","1.6","0.3","34.6","1.0","3.0","0.5","9.8","0.9","36.0","1.6","24.1","1.4","8.2","0.8","11.7","1.0","7.2","0.6","87.2","1.0","18.9","1.3","(X)","(X)","20.9","1.6","79.1","1.6","(X)","(X)"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","533151","2609","123692","3120","144125","3535","176561","3579","88773","1912","278479","2343","254672","2031","365703","3158","17746","1323","26683","2402","N","N","6247","659","8042","2390","30744","3330","31764","1315","345404","2490","9142","1512","28018","2457","160911","6429","146027","6192","44961","3276","89372","4982","54720","3733","495991","3828","144092","5857","519473","2621","45598","4376","473875","5457","75770","2685","(X)","(X)","23.2","0.5","27.0","0.7","33.1","0.6","16.7","0.4","52.2","0.3","47.8","0.3","68.6","0.5","3.3","0.2","5.0","0.4","N","N","1.2","0.1","1.5","0.4","5.8","0.6","6.0","0.2","64.8","0.4","1.7","0.3","5.3","0.5","30.2","1.2","27.4","1.2","8.4","0.6","16.8","0.9","10.3","0.7","93.0","0.5","27.0","1.1","(X)","(X)","8.8","0.9","91.2","0.9","(X)","(X)"
"5001600US0401","Congressional District 1 (116th Congress), Arizona","579140","9495","129229","4565","123044","4875","174583","5857","152284","5581","291634","6295","287506","5682","387964","7449","N","N","6450","1302","N","N","N","N","22568","4253","16628","2647","106824","5943","315129","6702","18701","1945","48870","3419","155881","6116","173817","7540","50285","4197","79517","5131","52069","3909","511569","9542","131586","6822","549859","9882","89352","5640","460507","9593","55681","2100","(X)","(X)","22.3","0.7","21.2","0.7","30.1","0.8","26.3","0.9","50.4","0.6","49.6","0.6","67.0","0.9","N","N","1.1","0.2","N","N","N","N","3.9","0.7","2.9","0.4","18.4","0.9","54.4","0.9","3.2","0.3","8.4","0.6","26.9","1.0","30.0","1.2","8.7","0.7","13.7","0.8","9.0","0.7","88.3","0.7","22.7","1.1","(X)","(X)","16.2","1.0","83.8","1.0","(X)","(X)"
