"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"0500000US01003","Baldwin County, Alabama","171344","1696","26842","1513","38314","2144","58665","1995","47523","1297","80874","1076","90470","1507","149933","1443","N","N","N","N","N","N","N","N","N","N","N","N","3247","1227","147917","1170","2849","1003","13641","3076","48135","4279","38152","3222","16873","2645","33421","3360","18273","3325","154854","3471","51694","4687","168716","2286","16225","3439","152491","3534","57345","6764","(X)","(X)","15.7","0.9","22.4","1.2","34.2","1.1","27.7","0.7","47.2","0.6","52.8","0.6","87.5","0.8","N","N","N","N","N","N","N","N","N","N","N","N","1.9","0.7","86.3","0.9","1.7","0.6","8.0","1.8","28.1","2.5","22.3","1.9","9.8","1.6","19.5","1.9","10.7","1.9","90.4","1.9","30.2","2.7","(X)","(X)","9.6","2.0","90.4","2.0","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","87872","1028","17090","945","21461","1115","28765","544","20556","217","41162","477","46710","739","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2650","971","9569","1921","29233","3125","22985","2341","7778","1847","9581","1798","6076","1045","75653","2171","15657","1903","85394","1283","12045","2287","73349","2567","49167","4232","(X)","(X)","19.4","1.1","24.4","1.2","32.7","0.5","23.4","0.2","46.8","0.4","53.2","0.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3.0","1.1","10.9","2.2","33.3","3.6","26.2","2.7","8.9","2.1","10.9","2.0","6.9","1.2","86.1","2.4","17.8","2.2","(X)","(X)","14.1","2.7","85.9","2.7","(X)","(X)"
"0500000US01043","Cullman County, Alabama","63818","658","11401","414","14931","433","22263","667","15223","348","30623","245","33195","683","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2694","813","8787","1665","19593","1934","16143","2115","7272","1296","6023","1446","3306","719","52337","1714","9329","1486","62745","1108","6147","1561","56598","1764","50836","3346","(X)","(X)","17.9","0.7","23.4","0.7","34.9","0.9","23.9","0.5","48.0","0.6","52.0","0.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4.2","1.3","13.8","2.6","30.7","3.0","25.3","3.3","11.4","2.0","9.4","2.3","5.2","1.1","82.0","2.6","14.6","2.3","(X)","(X)","9.8","2.5","90.2","2.5","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","49295","903","10183","775","10404","406","16843","386","11865","119","24299","850","24996","808","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1595","739","N","N","2378","847","5966","1376","19172","1913","10853","1706","4658","1128","3962","966","2306","650","40951","1534","6268","1184","48516","984","5317","1284","43199","1479","47784","4872","(X)","(X)","20.7","1.3","21.1","0.8","34.2","0.8","24.1","0.5","49.3","1.4","50.7","1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3.2","1.5","N","N","4.8","1.7","12.1","2.7","38.9","4.0","22.0","3.4","9.4","2.3","8.0","2.0","4.7","1.3","83.1","3.2","12.7","2.4","(X)","(X)","11.0","2.6","89.0","2.6","(X)","(X)"
"0500000US01051","Elmore County, Alabama","61394","982","11299","796","16114","1025","21355","644","12626","389","29171","741","32223","418","46870","898","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1732","517","4551","1148","21597","2271","12895","1786","6472","1631","9435","1575","4712","1154","55111","1670","14147","2068","56944","1434","4676","1520","52268","2249","63575","5990","(X)","(X)","18.4","1.2","26.2","1.5","34.8","1.1","20.6","0.7","47.5","0.6","52.5","0.6","76.3","0.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2.8","0.8","7.4","1.9","35.2","3.7","21.0","2.9","10.5","2.7","15.4","2.5","7.7","1.9","89.8","2.2","23.0","3.3","(X)","(X)","8.2","2.7","91.8","2.7","(X)","(X)"
"0500000US01055","Etowah County, Alabama","79514","451","14550","367","17440","673","27530","590","19994","442","37677","654","41837","482","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1915","367","N","N","2752","819","9610","2137","24842","2543","22655","2389","7182","1485","7628","1478","4845","1068","67152","2173","12473","2016","78678","570","13053","2299","65625","2189","41265","4290","(X)","(X)","18.3","0.4","21.9","0.8","34.6","0.7","25.1","0.6","47.4","0.7","52.6","0.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2.4","0.4","N","N","3.5","1.0","12.1","2.7","31.2","3.2","28.5","3.0","9.0","1.9","9.6","1.9","6.1","1.3","84.5","2.8","15.7","2.5","(X)","(X)","16.6","2.9","83.4","2.9","(X)","(X)"
"0500000US01069","Houston County, Alabama","80076","474","15068","249","18989","264","27016","202","19003","68","37152","329","42924","296","55348","1487","N","N","655","142","N","N","N","N","N","N","N","N","1232","277","54427","1442","3309","679","7952","949","25529","1523","19294","1303","7215","846","10581","1149","6196","905","68815","1233","16777","1431","79197","896","13895","1796","65302","1945","50371","2633","(X)","(X)","18.8","0.3","23.7","0.3","33.7","0.2","23.7","0.2","46.4","0.3","53.6","0.3","69.1","1.8","N","N","0.8","0.2","N","N","N","N","N","N","N","N","1.5","0.3","68.0","1.8","4.1","0.8","9.9","1.2","31.9","1.9","24.1","1.6","9.0","1.1","13.2","1.4","7.7","1.1","85.9","1.4","21.0","1.8","(X)","(X)","17.5","2.3","82.5","2.3","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","495515","1613","103513","1012","123744","1147","160989","1036","107269","967","227864","1120","267651","1305","266410","1298","N","N","6616","786","N","N","N","N","1702","830","N","N","6794","1284","261973","822","8174","1413","34007","3962","135235","6843","116987","6262","40049","4014","97432","6197","63631","4844","453334","4333","161063","7050","483540","2954","68988","6300","414552","6710","54752","2283","(X)","(X)","20.9","0.2","25.0","0.2","32.5","0.2","21.6","0.2","46.0","0.2","54.0","0.2","53.8","0.2","N","N","1.3","0.2","N","N","N","N","0.3","0.2","N","N","1.4","0.3","52.9","0.2","1.6","0.3","6.9","0.8","27.3","1.4","23.6","1.3","8.1","0.8","19.7","1.3","12.8","1.0","91.5","0.9","32.5","1.4","(X)","(X)","14.3","1.3","85.7","1.3","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","73859","1395","15683","673","15339","787","23613","825","19224","797","34839","609","39020","827","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3142","1302","7000","1398","24672","2491","18338","2422","5574","1394","9338","1560","5795","1230","63717","2190","15133","1802","72229","1736","11032","2248","61197","2730","46695","4760","(X)","(X)","21.2","0.7","20.8","1.1","32.0","1.1","26.0","0.8","47.2","0.2","52.8","0.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4.3","1.8","9.5","1.9","33.4","3.3","24.8","3.2","7.5","1.9","12.6","2.1","7.8","1.7","86.3","2.3","20.5","2.4","(X)","(X)","15.3","3.1","84.7","3.1","(X)","(X)"
