"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"0600000US0900108070","Bridgeport town, Fairfield County, Connecticut","85679","4796","22703","3726","21271","2270","25681","2583","16024","1938","38969","3210","46710","3415","37705","4490","32313","3499","N","N","N","N","N","N","10427","2522","2676","1205","29985","3544","22203","4502","8198","1490","9391","2032","29988","3395","18110","2935","5179","1504","9134","2217","5679","1204","68090","4575","14813","2573","82382","4465","17349","2729","65033","5119","45796","5254","(X)","(X)","26.5","3.6","24.8","2.7","30.0","2.4","18.7","2.4","45.5","2.7","54.5","2.7","44.0","4.2","37.7","3.4","N","N","N","N","N","N","12.2","3.0","3.1","1.4","35.0","4.2","25.9","4.6","9.6","1.6","11.0","2.3","35.0","3.9","21.1","3.1","6.0","1.7","10.7","2.3","6.6","1.4","79.5","2.8","17.3","2.7","(X)","(X)","21.1","3.5","78.9","3.5","(X)","(X)"
"0600000US0900118500","Danbury town, Fairfield County, Connecticut","56977","4352","12126","2212","11581","2385","20076","2796","13194","2586","25712","2679","31265","2926","39385","4570","6491","2132","N","N","N","N","N","N","6180","3123","N","N","10782","3231","35759","4111","1667","799","3272","1162","15181","2637","11661","2195","5699","1753","13225","2526","6272","1515","52038","4050","19497","2971","54062","4283","4483","1370","49579","4387","79785","12706","(X)","(X)","21.3","3.8","20.3","3.6","35.2","3.9","23.2","4.3","45.1","3.1","54.9","3.1","69.1","5.9","11.4","3.5","N","N","N","N","N","N","10.8","5.5","N","N","18.9","5.5","62.8","5.6","2.9","1.4","5.7","2.0","26.6","4.0","20.5","3.7","10.0","3.1","23.2","4.1","11.0","2.5","91.3","2.4","34.2","4.4","(X)","(X)","8.3","2.6","91.7","2.6","(X)","(X)"
"0600000US0900156060","Norwalk town, Fairfield County, Connecticut","60668","3625","11308","2153","15340","2349","20847","2340","13173","1890","27714","2383","32954","2611","42994","3487","10740","2376","4254","1717","N","N","N","N","N","N","N","N","8451","2185","35542","3485","2089","872","1838","753","12505","2449","10390","2099","5257","1162","17924","2598","10665","1761","56741","3729","28589","3406","60438","3612","4114","1459","56324","3622","92889","5721","(X)","(X)","18.6","3.4","25.3","3.6","34.4","3.1","21.7","2.9","45.7","2.8","54.3","2.8","70.9","4.4","17.7","3.8","7.0","2.7","N","N","N","N","N","N","N","N","13.9","3.6","58.6","4.6","3.4","1.4","3.0","1.3","20.6","4.1","17.1","3.3","8.7","1.8","29.5","3.5","17.6","2.7","93.5","2.1","47.1","4.3","(X)","(X)","6.8","2.4","93.2","2.4","(X)","(X)"
"0600000US0900173070","Stamford town, Fairfield County, Connecticut","80714","5170","18111","2590","17306","2144","26917","2805","18380","2554","37956","3228","42758","3452","60166","4576","12461","2783","4482","1393","N","N","N","N","N","N","N","N","12369","2663","50267","3835","2222","931","3048","1076","14600","2406","11230","1748","5460","1509","26337","2948","17817","2788","75444","5112","44154","3976","80048","5147","3910","1261","76138","4963","107515","12922","(X)","(X)","22.4","3.0","21.4","2.3","33.3","2.8","22.8","2.6","47.0","2.6","53.0","2.6","74.5","3.3","15.4","3.3","5.6","1.6","N","N","N","N","N","N","N","N","15.3","3.0","62.3","3.5","2.8","1.1","3.8","1.3","18.1","2.7","13.9","1.9","6.8","1.8","32.6","3.2","22.1","3.1","93.5","1.8","54.7","3.6","(X)","(X)","4.9","1.5","95.1","1.5","(X)","(X)"
"0600000US0900337070","Hartford town, Hartford County, Connecticut","79955","3693","24053","2477","21385","2258","22125","2546","12392","1661","35873","2910","44082","2272","23956","2791","31411","3394","N","N","N","N","N","N","16657","3361","7278","2232","32369","3398","14689","2237","6661","1379","10771","1698","26914","2840","19301","2392","5076","1172","7342","1702","3890","1044","62523","3301","11232","1617","74505","3313","18209","2539","56296","3954","36194","4520","(X)","(X)","30.1","2.6","26.7","2.9","27.7","2.8","15.5","1.9","44.9","2.4","55.1","2.4","30.0","3.3","39.3","3.8","N","N","N","N","N","N","20.8","4.1","9.1","2.8","40.5","3.8","18.4","2.6","8.3","1.7","13.5","1.9","33.7","3.1","24.1","2.9","6.3","1.5","9.2","2.1","4.9","1.3","78.2","2.5","14.0","2.0","(X)","(X)","24.4","3.5","75.6","3.5","(X)","(X)"
"0600000US0900350440","New Britain town, Hartford County, Connecticut","51589","2468","15798","2223","11687","1907","14052","1866","10052","1879","24547","2151","27042","1845","31598","3584","N","N","N","N","N","N","N","N","9723","2665","N","N","23002","3043","20603","3040","2906","939","5331","1349","18619","3000","12212","2122","3401","917","6551","1278","2569","746","43352","2512","9120","1620","49427","2698","8545","1937","40882","3290","50591","4861","(X)","(X)","30.6","4.3","22.7","3.7","27.2","3.0","19.5","3.4","47.6","3.1","52.4","3.1","61.2","5.9","N","N","N","N","N","N","N","N","18.8","5.1","N","N","44.6","5.4","39.9","5.3","5.6","1.8","10.3","2.6","36.1","5.0","23.7","4.2","6.6","1.8","12.7","2.6","5.0","1.4","84.0","3.0","17.7","3.2","(X)","(X)","17.3","4.0","82.7","4.0","(X)","(X)"
"0600000US0900952070","New Haven town, New Haven County, Connecticut","89986","4160","30104","2686","21306","2519","24594","2874","13982","2181","42812","3138","47174","2658","43151","4272","31639","3545","3934","1120","N","N","N","N","7483","2441","3605","1593","23341","3199","30366","3454","3791","1116","7345","2220","31296","3431","19214","2921","3671","1009","13194","2246","11475","1653","78850","4117","24669","3182","82405","3863","16776","2663","65629","4246","41243","5963","(X)","(X)","33.5","2.8","23.7","2.7","27.3","2.6","15.5","2.3","47.6","2.3","52.4","2.3","48.0","4.0","35.2","3.7","4.4","1.2","N","N","N","N","8.3","2.7","4.0","1.7","25.9","3.2","33.7","3.5","4.2","1.2","8.2","2.4","34.8","3.6","21.4","3.0","4.1","1.1","14.7","2.4","12.8","1.8","87.6","2.4","27.4","3.4","(X)","(X)","20.4","3.2","79.6","3.2","(X)","(X)"
"0600000US0900980070","Waterbury town, New Haven County, Connecticut","75084","3483","18746","2834","17887","2245","24838","3199","13613","2276","37523","2950","37561","2244","50070","3602","16020","2697","N","N","N","N","N","N","6075","2004","N","N","21770","3202","35984","4174","5499","1400","7639","1665","30296","3164","15602","2433","4951","1555","6762","1631","4335","1331","61946","3567","11097","2451","73845","3476","16208","3709","57637","4786","44016","6044","(X)","(X)","25.0","3.5","23.8","3.1","33.1","3.8","18.1","2.9","50.0","2.6","50.0","2.6","66.7","3.6","21.3","3.4","N","N","N","N","N","N","8.1","2.6","N","N","29.0","4.5","47.9","4.5","7.3","1.8","10.2","2.2","40.3","3.6","20.8","3.2","6.6","2.0","9.0","2.1","5.8","1.8","82.5","2.8","14.8","3.2","(X)","(X)","21.9","5.0","78.1","5.0","(X)","(X)"
"0600000US1701912411","Champaign City township, Champaign County, Illinois","66531","2313","28766","2611","12940","1836","15059","1762","9766","1658","35636","2005","30895","1841","47313","2632","N","N","6160","1338","N","N","N","N","N","N","N","N","N","N","45422","2414","1160","738","3436","1472","12018","2742","19616","2527","4520","1216","13269","2303","12512","2114","61935","2851","25781","3002","58715","2806","14795","3641","43920","3211","50740","4680","(X)","(X)","43.2","3.3","19.4","2.8","22.6","2.6","14.7","2.4","53.6","2.3","46.4","2.3","71.1","3.3","N","N","9.3","1.9","N","N","N","N","N","N","N","N","N","N","68.3","3.1","1.7","1.1","5.2","2.2","18.1","4.0","29.5","3.8","6.8","1.8","19.9","3.4","18.8","3.1","93.1","2.5","38.8","4.3","(X)","(X)","25.2","5.7","74.8","5.7","(X)","(X)"
