"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"314M500US1446014454","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area","1473029","10137","343619","3737","347920","5162","477912","4633","303578","2605","696859","6939","776170","5477","1106228","8576","190447","5493","85462","3622","N","N","N","N","41919","5625","44874","5085","131276","5756","1039330","5770","45353","3948","58529","4515","332496","10929","271597","9805","94338","5599","392713","11309","278003","8895","1369147","10953","670716","13119","1412837","10125","122574","7466","1290263","11547","94743","2129","(X)","(X)","23.3","0.2","23.6","0.3","32.4","0.3","20.6","0.2","47.3","0.3","52.7","0.3","75.1","0.5","12.9","0.4","5.8","0.2","N","N","N","N","2.8","0.4","3.0","0.3","8.9","0.4","70.6","0.5","3.1","0.3","4.0","0.3","22.6","0.7","18.4","0.6","6.4","0.4","26.7","0.8","18.9","0.6","92.9","0.4","45.5","0.9","(X)","(X)","8.7","0.5","91.3","0.5","(X)","(X)"
"314M500US1446015764","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area","1708501","9811","349512","5279","396694","5360","588074","4576","374221","2491","816701","7136","891800","4790","1411985","7712","76364","3685","116752","5254","N","N","N","N","62248","5805","35571","4511","153729","5312","1334916","5961","41309","3524","64810","4650","365126","12365","284211","10141","107388","5780","468894","10489","376763","9428","1602382","11473","845657","12456","1649667","9800","109951","7222","1539716","10715","101343","1249","(X)","(X)","20.5","0.3","23.2","0.3","34.4","0.2","21.9","0.2","47.8","0.2","52.2","0.2","82.6","0.5","4.5","0.2","6.8","0.3","N","N","N","N","3.6","0.3","2.1","0.3","9.0","0.3","78.1","0.4","2.4","0.2","3.8","0.3","21.4","0.7","16.6","0.6","6.3","0.3","27.4","0.6","22.1","0.6","93.8","0.4","49.5","0.7","(X)","(X)","6.7","0.4","93.3","0.4","(X)","(X)"
"314M500US1446040484","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area","349339","1774","69427","1320","75374","1341","127274","1302","77264","904","170525","1439","178814","1102","333910","1682","N","N","5982","1078","N","N","N","N","N","N","N","N","8553","845","327085","1201","3922","1105","13202","1812","97962","5005","70918","4503","31415","3196","82300","3802","49620","3766","332215","2673","131920","4414","338632","2001","20930","2794","317702","3281","86773","2786","(X)","(X)","19.9","0.3","21.6","0.4","36.4","0.4","22.1","0.3","48.8","0.3","51.2","0.3","95.6","0.4","N","N","1.7","0.3","N","N","N","N","N","N","N","N","2.4","0.2","93.6","0.4","1.1","0.3","3.8","0.5","28.0","1.4","20.3","1.3","9.0","0.9","23.6","1.1","14.2","1.1","95.1","0.6","37.8","1.3","(X)","(X)","6.2","0.8","93.8","0.8","(X)","(X)"
"314M500US1698016984","Chicago-Naperville-Evanston, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area","4956101","16804","1057464","8769","1258866","9546","1631382","6667","1008389","4602","2370710","11444","2585391","8870","3258915","17955","998536","6689","316638","6546","10860","2354","N","N","262995","11550","106403","7178","818693","12607","2753277","7780","156042","7978","279800","9203","1139718","20143","1062814","18905","354757","8547","1214134","16868","748836","15052","4520259","19962","1962970","19138","4865662","17148","454986","14438","4410676","23354","77324","839","(X)","(X)","21.3","0.1","25.4","0.1","32.9","0.1","20.3","0.1","47.8","0.1","52.2","0.1","65.8","0.3","20.1","0.1","6.4","0.1","0.2","0.1","N","N","5.3","0.2","2.1","0.1","16.5","0.2","55.6","0.2","3.1","0.2","5.6","0.2","23.0","0.4","21.4","0.4","7.2","0.2","24.5","0.3","15.1","0.3","91.2","0.2","39.6","0.4","(X)","(X)","9.4","0.3","90.6","0.3","(X)","(X)"
"314M500US1698020994","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area","529736","4964","118387","2854","128111","3913","181650","3198","101588","1596","259737","3327","269999","2976","428703","5699","N","N","16767","1841","N","N","N","N","34986","5478","12346","3110","102666","4692","368493","2102","16597","3461","29180","4145","129170","7271","128695","7276","51068","4780","115372","6586","59654","4541","483959","6936","175026","7582","521131","5348","33912","4049","487219","7033","86131","2437","(X)","(X)","22.3","0.5","24.2","0.6","34.3","0.6","19.2","0.3","49.0","0.4","51.0","0.4","80.9","1.1","N","N","3.2","0.3","N","N","N","N","6.6","1.0","2.3","0.6","19.4","0.7","69.6","0.6","3.1","0.7","5.5","0.8","24.4","1.4","24.3","1.3","9.6","0.9","21.8","1.2","11.3","0.8","91.4","1.0","33.0","1.4","(X)","(X)","6.5","0.8","93.5","0.8","(X)","(X)"
"314M500US1698023844","Gary, IN Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area","526740","2597","100811","1463","124433","1663","182753","1623","118743","1229","251376","1917","275364","1396","396093","3845","88979","1313","5783","958","N","N","N","N","24434","3863","N","N","70800","1977","355846","1317","14379","1934","34577","3464","201727","6580","120801","6096","41151","3106","76610","3920","37495","3234","477784","4625","114105","5043","518073","3177","55877","5177","462196","5571","63039","2143","(X)","(X)","19.1","0.2","23.6","0.3","34.7","0.3","22.5","0.2","47.7","0.2","52.3","0.2","75.2","0.7","16.9","0.3","1.1","0.2","N","N","N","N","4.6","0.7","N","N","13.4","0.3","67.6","0.3","2.7","0.4","6.6","0.7","38.3","1.2","22.9","1.2","7.8","0.6","14.5","0.7","7.1","0.6","90.7","0.8","21.7","1.0","(X)","(X)","10.8","1.0","89.2","1.0","(X)","(X)"
"314M500US1698029404","Lake County-Kenosha County, IL-WI Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area","600516","4724","129790","1822","132000","2966","215555","2504","123171","1322","297163","3282","303353","2354","492155","5009","42467","1868","29500","2331","N","N","N","N","21285","3420","12961","2163","81343","3717","437293","2007","15179","2073","29491","3402","143885","6440","134774","5839","44167","3361","145404","6157","87616","4430","555846","6005","233020","6930","581702","5163","36953","3503","544749","5938","86917","3455","(X)","(X)","21.6","0.3","22.0","0.4","35.9","0.4","20.5","0.2","49.5","0.3","50.5","0.3","82.0","0.7","7.1","0.3","4.9","0.4","N","N","N","N","3.5","0.6","2.2","0.4","13.5","0.5","72.8","0.5","2.5","0.3","4.9","0.6","24.0","1.1","22.4","1.0","7.4","0.6","24.2","1.0","14.6","0.8","92.6","0.6","38.8","1.1","(X)","(X)","6.4","0.6","93.6","0.6","(X)","(X)"
"314M500US1910019124","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area","3153036","16350","716101","8762","845256","9452","1061476","7840","530203","4199","1515310","9899","1637726","10290","2172013","14097","601066","7421","194457","6838","17035","1743","N","N","91576","8762","74876","5815","585558","13882","1704235","3775","86768","6389","182770","9678","714776","17449","766095","17938","228194","10286","771435","17275","402998","11205","2883498","17937","1174433","19812","3111661","17062","246831","10630","2864830","19198","77668","1239","(X)","(X)","22.7","0.2","26.8","0.3","33.7","0.2","16.8","0.1","48.1","0.2","51.9","0.2","68.9","0.4","19.1","0.2","6.2","0.2","0.5","0.1","N","N","2.9","0.3","2.4","0.2","18.6","0.4","54.1","0.3","2.8","0.2","5.8","0.3","22.7","0.6","24.3","0.6","7.2","0.3","24.5","0.5","12.8","0.3","91.5","0.4","37.2","0.6","(X)","(X)","7.9","0.3","92.1","0.3","(X)","(X)"
"314M500US1910023104","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area","1654574","10691","368792","5259","439279","6243","555638","5179","290865","2219","795987","7171","858587","5522","1218481","10972","248868","5455","69872","2863","9498","2066","2264","983","70544","8004","35047","4183","323488","7812","976900","3957","51210","5051","111168","7395","453375","11609","403255","12714","134046","7340","348101","10238","153419","8233","1492196","14971","501520","13140","1629554","11746","131724","8321","1497830","13831","73070","1706","(X)","(X)","22.3","0.2","26.5","0.3","33.6","0.3","17.6","0.2","48.1","0.2","51.9","0.2","73.6","0.6","15.0","0.3","4.2","0.2","0.6","0.1","0.1","0.1","4.3","0.5","2.1","0.3","19.6","0.4","59.0","0.3","3.1","0.3","6.7","0.5","27.4","0.7","24.4","0.7","8.1","0.4","21.0","0.6","9.3","0.5","90.2","0.6","30.3","0.7","(X)","(X)","8.1","0.5","91.9","0.5","(X)","(X)"
"314M500US1982019804","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area","1279313","4454","273321","2489","295125","2401","438765","2163","272102","1013","602615","2737","676698","2768","702927","4409","500684","2800","29864","2060","N","N","N","N","17088","2912","23682","2615","53149","2272","671774","2593","35042","2979","114561","5638","412936","10209","321640","7761","101105","4882","179899","6011","114130","5337","1129710","8832","294029","8411","1266161","4847","205025","8673","1061136","9731","50696","794","(X)","(X)","21.4","0.2","23.1","0.2","34.3","0.1","21.3","0.1","47.1","0.1","52.9","0.1","54.9","0.3","39.1","0.3","2.3","0.2","N","N","N","N","1.3","0.2","1.9","0.2","4.2","0.2","52.5","0.2","2.7","0.2","9.0","0.4","32.3","0.8","25.1","0.6","7.9","0.4","14.1","0.5","8.9","0.4","88.3","0.6","23.0","0.6","(X)","(X)","16.2","0.7","83.8","0.7","(X)","(X)"
"314M500US1982047664","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area","1937901","5368","364122","2955","428391","3295","704369","2847","441019","1711","937163","3342","1000738","3727","1606815","4474","216671","2527","68784","3095","N","N","N","N","6979","1579","32605","2782","47357","2245","1569740","4034","36221","3313","99180","4655","504557","10174","461607","11181","176773","6294","408679","8732","250884","7473","1802500","7222","659563","10809","1920137","5794","140823","7581","1779314","9664","72873","1155","(X)","(X)","18.8","0.1","22.1","0.1","36.3","0.1","22.8","0.1","48.4","0.1","51.6","0.1","82.9","0.2","11.2","0.1","3.5","0.2","N","N","N","N","0.4","0.1","1.7","0.1","2.4","0.1","81.0","0.2","1.9","0.2","5.1","0.2","26.0","0.5","23.8","0.6","9.1","0.3","21.1","0.4","12.9","0.4","93.0","0.3","34.0","0.5","(X)","(X)","7.3","0.4","92.7","0.4","(X)","(X)"
"314M500US3108011244","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area","2099774","15287","456205","6032","489049","6969","701856","8075","452664","3496","1018375","9022","1081399","8704","1353026","12444","41184","2244","432156","8690","8498","1722","7660","1176","186160","10420","71090","6315","539412","11655","1024325","4961","83901","5118","116208","6340","390285","11501","500483","12123","165521","6325","541527","13071","301849","8448","1899665","15659","843376","13852","2075220","15298","149584","7748","1925636","17495","101235","822","(X)","(X)","21.7","0.2","23.3","0.3","33.4","0.3","21.6","0.2","48.5","0.2","51.5","0.2","64.4","0.5","2.0","0.1","20.6","0.4","0.4","0.1","0.4","0.1","8.9","0.5","3.4","0.3","25.7","0.4","48.8","0.3","4.0","0.2","5.5","0.3","18.6","0.5","23.8","0.5","7.9","0.3","25.8","0.6","14.4","0.4","90.5","0.4","40.2","0.6","(X)","(X)","7.2","0.4","92.8","0.4","(X)","(X)"
"314M500US3108031084","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area","6389353","22529","1540679","8688","1631636","12562","1966102","13181","1250936","8082","3097127","15249","3292226","11654","3520005","24096","628791","7575","955683","9358","51697","5554","17339","1626","978250","20950","237588","10418","2525880","19799","2108136","8302","400086","12319","442117","9816","1352727","21079","1521094","20403","473622","11541","1477030","17119","722677","13694","5547150","26401","2199707","18728","6272837","22506","656129","15603","5616708","24049","79093","1100","(X)","(X)","24.1","0.1","25.5","0.2","30.8","0.2","19.6","0.1","48.5","0.1","51.5","0.1","55.1","0.3","9.8","0.1","15.0","0.1","0.8","0.1","0.3","0.1","15.3","0.3","3.7","0.2","39.5","0.2","33.0","0.2","6.3","0.2","6.9","0.2","21.2","0.3","23.8","0.3","7.4","0.2","23.1","0.3","11.3","0.2","86.8","0.2","34.4","0.3","(X)","(X)","10.5","0.2","89.5","0.2","(X)","(X)"
"314M500US3310022744","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1308132","12777","240315","5157","311088","7408","454747","6352","301982","4191","628834","7731","679298","7210","834889","10682","354121","8371","41518","3351","N","N","N","N","37301","5804","35463","4395","349999","8657","542828","4129","42648","4215","76946","5786","366111","10527","272303","9775","137931","7869","261737","11066","150456","7287","1188538","13831","412193","12055","1298801","12862","129400","8495","1169401","14394","63396","1548","(X)","(X)","18.4","0.3","23.8","0.5","34.8","0.4","23.1","0.3","48.1","0.3","51.9","0.3","63.8","0.7","27.1","0.5","3.2","0.3","N","N","N","N","2.9","0.4","2.7","0.3","26.8","0.5","41.5","0.4","3.3","0.3","5.9","0.4","28.0","0.8","20.8","0.7","10.5","0.6","20.0","0.8","11.5","0.6","90.9","0.6","31.5","0.8","(X)","(X)","10.0","0.6","90.0","0.6","(X)","(X)"
"314M500US3310033124","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1625606","15198","318798","6802","376994","8518","535538","8620","394276","4684","760598","9825","865008","9017","1224144","15341","294984","7062","23580","2362","N","N","N","N","52724","6951","26659","3720","1075881","13383","240217","2997","118990","7138","146586","9677","407731","12338","299823","10551","162229","8169","311972","11929","178275","8873","1360030","17147","490247","14003","1600308","15339","209127","11645","1391181","19368","58924","1659","(X)","(X)","19.6","0.3","23.2","0.4","32.9","0.5","24.3","0.3","46.8","0.3","53.2","0.3","75.3","0.6","18.1","0.4","1.5","0.1","N","N","N","N","3.2","0.4","1.6","0.2","66.2","0.4","14.8","0.2","7.3","0.4","9.0","0.6","25.1","0.7","18.4","0.6","10.0","0.5","19.2","0.7","11.0","0.6","83.7","0.7","30.2","0.8","(X)","(X)","13.1","0.7","86.9","0.7","(X)","(X)"
