"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"9700000US0100007","Hoover City School District, Alabama","62773","3215","12908","2618","16880","2188","19202","2500","13783","1783","30614","2181","32159","2477","46350","3550","N","N","1946","679","N","N","N","N","N","N","N","N","N","N","N","N","594","449","1243","532","8324","1758","13451","1984","3448","1242","21032","2594","14681","1879","60936","3331","35713","2899","62435","3190","2859","1145","59576","3186","99644","5681","(X)","(X)","20.6","3.7","26.9","3.8","30.6","3.2","22.0","2.9","48.8","2.7","51.2","2.7","73.8","4.3","N","N","3.1","1.1","N","N","N","N","N","N","N","N","N","N","N","N","0.9","0.7","2.0","0.9","13.3","2.6","21.4","2.8","5.5","1.9","33.5","4.2","23.4","2.7","97.1","1.0","56.9","4.3","(X)","(X)","4.6","1.8","95.4","1.8","(X)","(X)"
"9700000US0100210","Auburn City School District, Alabama","49109","2432","23434","2706","10723","2189","9688","2016","5264","1366","23456","2108","25653","1519","36661","3962","N","N","1408","799","N","N","N","N","N","N","N","N","N","N","N","N","93","123","998","616","6920","1585","16901","2260","2625","887","12749","2137","8823","1854","48018","2376","21572","2480","43773","2717","13866","2384","29907","2563","49758","12465","(X)","(X)","47.7","4.8","21.8","4.8","19.7","3.8","10.7","2.6","47.8","2.8","52.2","2.8","74.7","6.1","N","N","2.9","1.6","N","N","N","N","N","N","N","N","N","N","N","N","0.2","0.3","2.0","1.2","14.1","3.0","34.4","4.4","5.3","1.8","26.0","4.4","18.0","3.5","97.8","1.4","43.9","4.7","(X)","(X)","31.7","4.8","68.3","4.8","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","171344","1696","26842","1513","38314","2144","58665","1995","47523","1297","80874","1076","90470","1507","149933","1443","N","N","N","N","N","N","N","N","N","N","N","N","3247","1227","147917","1170","2849","1003","13641","3076","48135","4279","38152","3222","16873","2645","33421","3360","18273","3325","154854","3471","51694","4687","168716","2286","16225","3439","152491","3534","57345","6764","(X)","(X)","15.7","0.9","22.4","1.2","34.2","1.1","27.7","0.7","47.2","0.6","52.8","0.6","87.5","0.8","N","N","N","N","N","N","N","N","N","N","N","N","1.9","0.7","86.3","0.9","1.7","0.6","8.0","1.8","28.1","2.5","22.3","1.9","9.8","1.6","19.5","1.9","10.7","1.9","90.4","1.9","30.2","2.7","(X)","(X)","9.6","2.0","90.4","2.0","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","164123","4090","41474","3235","39409","3138","51084","3081","32156","2424","72533","2674","91590","3221","49448","3892","N","N","N","N","N","N","N","N","N","N","N","N","2378","856","47910","3863","2770","844","16116","2610","47769","4185","38358","4011","15343","2453","26684","3258","17083","2389","145237","5019","43767","4114","157088","4683","35366","3641","121722","5674","36859","3188","(X)","(X)","25.3","1.8","24.0","1.9","31.1","1.7","19.6","1.3","44.2","1.3","55.8","1.3","30.1","2.2","N","N","N","N","N","N","N","N","N","N","N","N","1.4","0.5","29.2","2.2","1.7","0.5","9.8","1.6","29.1","2.4","23.4","2.4","9.3","1.5","16.3","1.8","10.4","1.5","88.5","1.6","26.7","2.3","(X)","(X)","22.5","2.4","77.5","2.4","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","51415","2460","8386","1230","11839","1142","18682","1126","12508","1006","24458","1452","26957","1314","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2302","773","7556","1419","16837","1837","12493","1935","5574","1309","4085","1121","2568","643","41557","2628","6653","1209","51011","2497","5113","1390","45898","2565","49961","3425","(X)","(X)","16.3","2.0","23.0","1.8","36.3","1.9","24.3","1.9","47.6","1.3","52.4","1.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4.5","1.5","14.7","2.8","32.7","3.5","24.3","3.2","10.8","2.5","7.9","2.2","5.0","1.2","80.8","2.8","12.9","2.3","(X)","(X)","10.0","2.7","90.0","2.7","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","52247","1132","9874","742","12095","872","17132","939","13146","1053","23892","775","28355","820","31740","1740","N","N","570","162","N","N","N","N","N","N","N","N","668","251","N","N","1693","482","5298","846","14954","1041","12360","840","5188","652","8182","982","4572","600","45256","1194","12754","1285","51384","1306","8658","1120","42726","1646","48666","4571","(X)","(X)","18.9","1.4","23.1","1.7","32.8","1.7","25.2","1.8","45.7","1.1","54.3","1.1","60.7","3.2","N","N","1.1","0.3","N","N","N","N","N","N","N","N","1.3","0.5","N","N","3.2","0.9","10.1","1.6","28.6","1.8","23.7","1.6","9.9","1.2","15.7","1.9","8.8","1.1","86.6","1.8","24.4","2.4","(X)","(X)","16.8","2.2","83.2","2.2","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","56475","2060","10933","966","14249","1429","19395","1046","11898","596","27309","1233","29166","1330","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1576","525","4181","1069","18428","2133","12348","1846","6378","1634","9097","1520","4467","1102","50718","2460","13564","2005","52134","2304","4337","1493","47797","2596","67958","7539","(X)","(X)","19.4","1.5","25.2","2.0","34.3","1.7","21.1","1.1","48.4","1.3","51.6","1.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2.8","0.9","7.4","1.9","32.6","3.6","21.9","3.2","11.3","2.9","16.1","2.5","7.9","1.9","89.8","2.3","24.0","3.3","(X)","(X)","8.3","2.8","91.7","2.8","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","154975","4108","38979","2570","35461","2953","47320","3384","33215","2361","72295","2277","82680","2934","97595","4099","51284","3368","N","N","N","N","N","N","N","N","N","N","5094","1064","94042","3746","2301","694","10183","1966","27634","2993","39908","3293","12754","1866","37764","4341","24431","3055","142491","4356","62195","5058","146558","4477","20209","2982","126349","5509","55573","4518","(X)","(X)","25.2","1.6","22.9","2.0","30.5","1.7","21.4","1.4","46.6","1.0","53.4","1.0","63.0","2.1","33.1","2.0","N","N","N","N","N","N","N","N","N","N","3.3","0.7","60.7","2.0","1.5","0.4","6.6","1.3","17.8","1.9","25.8","2.1","8.2","1.2","24.4","2.6","15.8","1.9","91.9","1.4","40.1","2.8","(X)","(X)","13.8","2.1","86.2","2.1","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","168294","5676","29490","3025","40640","4180","56902","4319","41262","2638","78321","3499","89973","3740","107049","5417","N","N","N","N","N","N","N","N","N","N","N","N","2280","825","105543","5448","3587","960","11432","2190","53714","5156","42815","4383","15808","2449","25033","2931","15905","2246","153275","5495","40938","3385","167327","5751","19351","3215","147976","6012","58703","3373","(X)","(X)","17.5","1.7","24.1","2.4","33.8","2.1","24.5","1.5","46.5","1.3","53.5","1.3","63.6","2.5","N","N","N","N","N","N","N","N","N","N","N","N","1.4","0.5","62.7","2.6","2.1","0.6","6.8","1.2","31.9","2.8","25.4","2.5","9.4","1.4","14.9","1.7","9.5","1.4","91.1","1.4","24.3","2.0","(X)","(X)","11.6","1.9","88.4","1.9","(X)","(X)"
